date,opening_balance,inflow,operational_outflow,scheduled_outflow,scheduled_label,rent_outflow,total_outflow,net_cash_flow,closing_balance
2026-04-15,811462.86,34948.48,5335.55,0.0,,0.0,5335.55,29612.93,841075.79
2026-04-16,841075.79,35233.64,5563.05,177769.88,payroll,0.0,183332.93,-148099.29,692976.5
2026-04-17,692976.5,35133.01,5249.54,39378.77,vendor_payment,0.0,44628.31,-9495.3,683481.2
2026-04-18,683481.2,22115.34,1506.89,0.0,,0.0,1506.89,20608.45,704089.65
2026-04-19,704089.65,21632.45,4184.13,0.0,,0.0,4184.13,17448.32,721537.97
2026-04-20,721537.97,44894.92,6040.85,96557.26,gst_payment,0.0,102598.11,-57703.19,663834.78
2026-04-21,663834.78,38479.96,8893.15,0.0,,0.0,8893.15,29586.81,693421.59
2026-04-22,693421.59,44823.19,7364.16,0.0,,0.0,7364.16,37459.03,730880.62
2026-04-23,730880.62,36753.44,5721.13,0.0,,0.0,5721.13,31032.31,761912.93
2026-04-24,761912.93,39972.55,5983.27,43627.9,vendor_payment,0.0,49611.17,-9638.62,752274.31
2026-04-25,752274.31,23830.15,919.73,0.0,,0.0,919.73,22910.42,775184.73
2026-04-26,775184.73,11684.16,1196.06,0.0,,0.0,1196.06,10488.1,785672.83
2026-04-27,785672.83,32416.44,5918.39,0.0,,0.0,5918.39,26498.05,812170.88
2026-04-28,812170.88,33749.29,5780.72,0.0,,0.0,5780.72,27968.57,840139.45
2026-04-29,840139.45,28584.83,7787.91,0.0,,0.0,7787.91,20796.92,860936.37
2026-04-30,860936.37,39560.14,4973.51,0.0,,0.0,4973.51,34586.63,895523.0
2026-05-01,895523.0,39242.92,7498.31,181715.02,payroll,59921.64,249134.97,-209892.05,685630.95
2026-05-02,685630.95,23627.65,3481.85,0.0,,0.0,3481.85,20145.8,705776.75
2026-05-03,705776.75,15408.28,677.48,0.0,,0.0,677.48,14730.8,720507.55
2026-05-04,720507.55,35267.51,7201.14,0.0,,0.0,7201.14,28066.37,748573.92
2026-05-05,748573.92,44685.45,6175.58,0.0,,0.0,6175.58,38509.87,787083.79
2026-05-06,787083.79,44865.05,7219.36,0.0,,0.0,7219.36,37645.69,824729.48
2026-05-07,824729.48,37779.35,5115.2,0.0,,0.0,5115.2,32664.15,857393.63
2026-05-08,857393.63,35239.64,6112.6,53554.03,vendor_payment,0.0,59666.63,-24426.99,832966.64
2026-05-09,832966.64,24836.38,839.61,0.0,,0.0,839.61,23996.77,856963.41
2026-05-10,856963.41,15501.48,3397.09,0.0,,0.0,3397.09,12104.39,869067.8
2026-05-11,869067.8,39186.22,4872.41,0.0,,0.0,4872.41,34313.81,903381.61
2026-05-12,903381.61,41415.78,7666.09,0.0,,0.0,7666.09,33749.69,937131.3
2026-05-13,937131.3,42013.16,6146.59,0.0,,0.0,6146.59,35866.57,972997.87
2026-05-14,972997.87,44506.68,5551.73,0.0,,0.0,5551.73,38954.95,1011952.82
2026-05-15,1011952.82,35819.98,4904.43,56530.22,vendor_payment,0.0,61434.65,-25614.67,986338.15
2026-05-16,986338.15,30853.85,2370.86,181228.13,payroll,0.0,183598.99,-152745.14,833593.01
2026-05-17,833593.01,23323.48,3552.91,0.0,,0.0,3552.91,19770.57,853363.58
2026-05-18,853363.58,44064.78,6846.58,0.0,,0.0,6846.58,37218.2,890581.78
2026-05-19,890581.78,38299.77,5399.61,0.0,,0.0,5399.61,32900.16,923481.94
2026-05-20,923481.94,34149.83,2868.65,94886.35,gst_payment,0.0,97755.0,-63605.17,859876.77
2026-05-21,859876.77,35042.71,6061.71,0.0,,0.0,6061.71,28981.0,888857.77
2026-05-22,888857.77,38386.57,4785.01,42099.7,vendor_payment,0.0,46884.71,-8498.14,880359.63
2026-05-23,880359.63,23313.3,2627.66,0.0,,0.0,2627.66,20685.64,901045.27
2026-05-24,901045.27,17476.17,1514.56,0.0,,0.0,1514.56,15961.61,917006.88
2026-05-25,917006.88,41579.84,6310.29,0.0,,0.0,6310.29,35269.55,952276.43
2026-05-26,952276.43,40441.66,5826.3,0.0,,0.0,5826.3,34615.36,986891.79
2026-05-27,986891.79,42441.1,6136.94,0.0,,0.0,6136.94,36304.16,1023195.95
2026-05-28,1023195.95,50563.0,5454.57,0.0,,0.0,5454.57,45108.43,1068304.38
2026-05-29,1068304.38,36011.88,8011.97,44675.49,vendor_payment,0.0,52687.46,-16675.58,1051628.8
2026-05-30,1051628.8,18095.16,2943.33,0.0,,0.0,2943.33,15151.83,1066780.63
2026-05-31,1066780.63,11181.87,2957.93,0.0,,0.0,2957.93,8223.94,1075004.57
2026-06-01,1075004.57,39409.96,6341.93,178419.39,payroll,61334.36,246095.68,-206685.72,868318.85
2026-06-02,868318.85,40784.55,5995.09,0.0,,0.0,5995.09,34789.46,903108.31
2026-06-03,903108.31,41046.02,5012.74,0.0,,0.0,5012.74,36033.28,939141.59
2026-06-04,939141.59,38876.54,4210.27,0.0,,0.0,4210.27,34666.27,973807.86
2026-06-05,973807.86,34519.85,6367.99,45777.26,vendor_payment,0.0,52145.25,-17625.4,956182.46
2026-06-06,956182.46,25113.1,1615.3,0.0,,0.0,1615.3,23497.8,979680.26
2026-06-07,979680.26,21285.3,1584.64,0.0,,0.0,1584.64,19700.66,999380.92
2026-06-08,999380.92,40771.81,6948.09,0.0,,0.0,6948.09,33823.72,1033204.64
2026-06-09,1033204.64,44473.97,6691.74,0.0,,0.0,6691.74,37782.23,1070986.87
2026-06-10,1070986.87,36125.63,6255.8,0.0,,0.0,6255.8,29869.83,1100856.7
2026-06-11,1100856.7,35063.8,3694.26,0.0,,0.0,3694.26,31369.54,1132226.24
2026-06-12,1132226.24,40555.21,6098.5,49446.6,vendor_payment,0.0,55545.1,-14989.89,1117236.35
2026-06-13,1117236.35,25599.17,913.43,0.0,,0.0,913.43,24685.74,1141922.09
2026-06-14,1141922.09,17813.6,2384.35,0.0,,0.0,2384.35,15429.25,1157351.34
2026-06-15,1157351.34,40206.46,6479.0,0.0,,0.0,6479.0,33727.46,1191078.8
2026-06-16,1191078.8,34037.85,5683.9,181257.8,payroll,0.0,186941.7,-152903.85,1038174.95
2026-06-17,1038174.95,48488.74,4477.41,0.0,,0.0,4477.41,44011.33,1082186.28
2026-06-18,1082186.28,47287.69,5637.67,0.0,,0.0,5637.67,41650.02,1123836.3
2026-06-19,1123836.3,33540.54,7576.17,38483.69,vendor_payment,0.0,46059.86,-12519.32,1111316.98
2026-06-20,1111316.98,16745.36,3237.98,96522.42,gst_payment,0.0,99760.4,-83015.04,1028301.94
2026-06-21,1028301.94,22318.82,1507.19,0.0,,0.0,1507.19,20811.63,1049113.57
2026-06-22,1049113.57,33439.09,6099.21,0.0,,0.0,6099.21,27339.88,1076453.45
2026-06-23,1076453.45,29667.33,4221.23,0.0,,0.0,4221.23,25446.1,1101899.55
2026-06-24,1101899.55,44990.78,6707.72,0.0,,0.0,6707.72,38283.06,1140182.61
2026-06-25,1140182.61,45752.64,6452.04,0.0,,0.0,6452.04,39300.6,1179483.21
2026-06-26,1179483.21,35158.93,6524.32,33927.78,vendor_payment,0.0,40452.1,-5293.17,1174190.04
2026-06-27,1174190.04,25234.64,3991.4,0.0,,0.0,3991.4,21243.24,1195433.28
2026-06-28,1195433.28,17616.7,3583.45,0.0,,0.0,3583.45,14033.25,1209466.53
2026-06-29,1209466.53,40578.91,5755.33,0.0,,0.0,5755.33,34823.58,1244290.11
